,Unnamed: 0,title,author,num_rating,num_reviews,avg_rating,num_pages,original_publish_year,series,genres,award,place,url
211,211,Slammed,Colleen Hoover,217088.0,16480.0,4.25,354,2016.0,True,"['Romance', 'New Adult', 'Young Adult', 'Contemporary', 'Romance Contemporary Romance', 'Fiction', 'Womens Fiction Chick Lit', 'Young Adult High School', 'Realistic Fiction', 'Poetry']",1,United States,https://www.goodreads.com//book/show/30333938-slammed
212,212,"The Show (Peter Pan Man, #1)",Lawrence H.  Sola,650.0,165.0,4.24,392,2016.0,False,"['Alcohol Wine', 'Romance', 'Suspense', 'Music', 'Adventure', 'Young Adult', 'Love', 'Womens Fiction']",0,,https://www.goodreads.com//book/show/29735147-the-show
213,213,The Dead Girls' Dance,Rachel Caine,56026.0,1985.0,4.04,248,2007.0,True,"['Paranormal Vampires', 'Young Adult', 'Fantasy Paranormal', 'Fantasy', 'Fantasy Urban Fantasy', 'Romance', 'Fantasy Supernatural', 'Fiction', 'Romance Paranormal Romance', 'Young Adult Teen']",0,United States,https://www.goodreads.com//book/show/261122.The_Dead_Girls_Dance
214,214,The Summer I Turned Pretty,Jenny Han,163389.0,11711.0,3.91,276,2009.0,True,"['Young Adult', 'Romance', 'Contemporary', 'Womens Fiction Chick Lit', 'Fiction', 'Realistic Fiction', 'Young Adult Young Adult Contemporary', 'Young Adult Teen', 'Young Adult Young Adult Romance', 'Young Adult Coming Of Age']",0,United States,https://www.goodreads.com//book/show/5821978-the-summer-i-turned-pretty
215,215,The Witch of Blackbird Pond,Elizabeth George Speare,140473.0,6283.0,3.98,256,1978.0,False,"['Historical Historical Fiction', 'Young Adult', 'Fiction', 'Classics', 'Childrens', 'Historical', 'Childrens Middle Grade', 'Paranormal Witches', 'Romance', 'Academic School']",2,United States,https://www.goodreads.com//book/show/703292.The_Witch_of_Blackbird_Pond
216,216,Paranormalcy,Kiersten White,97578.0,6128.0,3.87,335,2010.0,True,"['Young Adult', 'Fantasy Paranormal', 'Fantasy', 'Romance', 'Paranormal Vampires', 'Fantasy Urban Fantasy', 'Fantasy Supernatural', 'Romance Paranormal Romance', 'Shapeshifters Werewolves', 'Paranormal Fairies']",3,,https://www.goodreads.com//book/show/7719245-paranormalcy
217,217,Nineteen Minutes,Jodi Picoult,309990.0,16212.0,4.13,440,2007.0,False,"['Fiction', 'Contemporary', 'Womens Fiction Chick Lit', 'Adult', 'Adult Fiction', 'Drama', 'Young Adult', 'Realistic Fiction', 'Mystery', 'Mystery Crime']",3,United States,https://www.goodreads.com//book/show/14866.Nineteen_Minutes
218,218,Elsewhere,Gabrielle Zevin,52948.0,5286.0,3.9,277,2007.0,False,"['Young Adult', 'Fantasy', 'Fiction', 'Romance', 'Death', 'Young Adult Teen', 'Fantasy Paranormal', 'Contemporary', 'Fantasy Supernatural', 'Audiobook']",9,,https://www.goodreads.com//book/show/359410.Elsewhere
219,219,The Glass Castle,Jeannette Walls,952380.0,52502.0,4.28,288,2006.0,False,"['Nonfiction', 'Autobiography Memoir', 'Biography', 'Biography Memoir', 'Biography Autobiography', 'Book Club', 'Adult', 'Audiobook', 'Academic School', 'Contemporary']",2,United States,https://www.goodreads.com//book/show/7445.The_Glass_Castle
220,220,The House of the Scorpion,Nancy Farmer,85589.0,6486.0,4.06,380,2004.0,True,"['Young Adult', 'Science Fiction', 'Science Fiction Dystopia', 'Fiction', 'Fantasy', 'Young Adult Teen', 'Adventure', 'Academic School', 'Childrens Middle Grade', 'Childrens']",16,,https://www.goodreads.com//book/show/13376.The_House_of_the_Scorpion
221,221,Jessica's Guide to Dating on the Dark Side,Beth Fantaskey,40998.0,2929.0,3.83,351,2009.0,True,"['Young Adult', 'Paranormal Vampires', 'Romance', 'Fantasy', 'Fantasy Paranormal', 'Romance Paranormal Romance', 'Fantasy Supernatural', 'Fantasy Urban Fantasy', 'Fiction', 'Young Adult Teen']",1,,https://www.goodreads.com//book/show/3389671-jessica-s-guide-to-dating-on-the-dark-side
222,222,Anna Dressed in Blood,Kendare Blake,100624.0,10013.0,3.91,316,2011.0,True,"['Young Adult', 'Horror', 'Fantasy Paranormal', 'Fantasy', 'Paranormal Ghosts', 'Romance', 'Fantasy Supernatural', 'Fiction', 'Fantasy Urban Fantasy', 'Mystery']",4,Canada,https://www.goodreads.com//book/show/9378297-anna-dressed-in-blood
223,223,The Silmarillion,J.R.R. Tolkien,231353.0,8565.0,3.93,386,2004.0,True,"['Fantasy', 'Fiction', 'Classics', 'Fantasy High Fantasy', 'Science Fiction Fantasy', 'Fantasy Epic Fantasy', 'Fantasy Mythology', 'Literature', 'Adventure', 'Novels']",3,,https://www.goodreads.com//book/show/7332.The_Silmarillion
224,224,The Iron Queen,Julie Kagawa,101224.0,4968.0,4.19,384,2011.0,True,"['Fantasy', 'Young Adult', 'Romance', 'Fantasy Paranormal', 'Fairies Fae', 'Paranormal Fairies', 'Fantasy Magic', 'Fantasy Urban Fantasy', 'Young Adult Young Adult Fantasy', 'Fiction']",1,,https://www.goodreads.com//book/show/8685612-the-iron-queen
225,225,Soulless,Gail Carriger,105889.0,10331.0,3.88,357,2009.0,True,"['Science Fiction Steampunk', 'Fantasy', 'Romance', 'Fantasy Paranormal', 'Paranormal Vampires', 'Fantasy Urban Fantasy', 'Fiction', 'Historical Historical Fiction', 'Historical', 'Shapeshifters Werewolves']",4,United Kingdom,https://www.goodreads.com//book/show/6381205-soulless
226,226,Dead Witch Walking,Kim Harrison,115634.0,4939.0,4.02,416,2004.0,True,"['Fantasy Urban Fantasy', 'Fantasy', 'Fantasy Paranormal', 'Paranormal Vampires', 'Paranormal Witches', 'Fantasy Magic', 'Fiction', 'Fantasy Supernatural', 'Romance Paranormal Romance', 'Romance']",0,United States,https://www.goodreads.com//book/show/30264.Dead_Witch_Walking
227,227,The Body Finder,Kimberly Derting,53582.0,3980.0,3.93,327,2010.0,True,"['Young Adult', 'Fantasy Paranormal', 'Mystery', 'Fantasy', 'Romance', 'Fantasy Supernatural', 'Fiction', 'Romance Paranormal Romance', 'Suspense', 'Fantasy Urban Fantasy']",0,United States,https://www.goodreads.com//book/show/6261522-the-body-finder
228,228,The Scorpio Races,Maggie Stiefvater,104471.0,13190.0,4.06,409,2011.0,False,"['Fantasy', 'Young Adult', 'Romance', 'Fiction', 'Fantasy Mythology', 'Audiobook', 'Young Adult Young Adult Fantasy', 'Fantasy Paranormal', 'Adventure', 'Young Adult Teen']",10,,https://www.goodreads.com//book/show/10626594-the-scorpio-races
229,229,Naked in Death,J.D. Robb,172950.0,6290.0,4.12,306,1995.0,True,"['Mystery', 'Romance', 'Mystery Crime', 'Fiction', 'Romance Romantic Suspense', 'Suspense', 'Thriller', 'Science Fiction', 'Futuristic', 'Thriller Mystery Thriller']",0,United States,https://www.goodreads.com//book/show/479309.Naked_in_Death
230,230,Assassin's Apprentice,Robin Hobb,249052.0,10748.0,4.15,435,1996.0,True,"['Fantasy', 'Fiction', 'Fantasy Epic Fantasy', 'Fantasy High Fantasy', 'Adventure', 'Science Fiction Fantasy', 'Fantasy Magic', 'Adult', 'Young Adult', 'Audiobook']",3,,https://www.goodreads.com//book/show/77197.Assassin_s_Apprentice
231,231,Lock and Key,Sarah Dessen,143781.0,5481.0,4.0,432,2008.0,False,"['Young Adult', 'Romance', 'Contemporary', 'Fiction', 'Realistic Fiction', 'Womens Fiction Chick Lit', 'Young Adult Teen', 'Young Adult Young Adult Contemporary', 'Young Adult High School', 'Young Adult Coming Of Age']",2,United States,https://www.goodreads.com//book/show/1295102.Lock_and_Key
232,232,"The Morganville Vampires, Volume 1",Rachel Caine,18125.0,379.0,4.35,452,2009.0,True,"['Paranormal Vampires', 'Young Adult', 'Fantasy Paranormal', 'Fantasy', 'Fantasy Urban Fantasy', 'Romance', 'Fantasy Supernatural', 'Fiction', 'Romance Paranormal Romance', 'Young Adult Young Adult Fantasy']",0,,https://www.goodreads.com//book/show/6571723-the-morganville-vampires-volume-1
233,233,The Passage,Justin Cronin,197423.0,19638.0,4.03,766,2010.0,True,"['Horror', 'Fiction', 'Science Fiction', 'Fantasy', 'Apocalyptic Post Apocalyptic', 'Paranormal Vampires', 'Science Fiction Dystopia', 'Thriller', 'Science Fiction Apocalyptic', 'Fantasy Paranormal']",2,United States,https://www.goodreads.com//book/show/6690798-the-passage
234,234,The Final Warning,James Patterson,66296.0,2661.0,3.86,256,2008.0,True,"['Young Adult', 'Fantasy', 'Science Fiction', 'Fiction', 'Adventure', 'Fantasy Paranormal', 'Romance', 'Young Adult Teen', 'Action', 'Childrens']",0,,https://www.goodreads.com//book/show/1829709.The_Final_Warning
235,235,Fade,Lisa McMann,52241.0,2411.0,3.91,248,2009.0,True,"['Young Adult', 'Fantasy', 'Fantasy Paranormal', 'Romance', 'Fiction', 'Mystery', 'Fantasy Supernatural', 'Young Adult Teen', 'Fantasy Urban Fantasy', 'Romance Paranormal Romance']",0,United States,https://www.goodreads.com//book/show/3657138-fade
236,236,Thoughtless,S.C. Stephens,135240.0,9431.0,4.1,530,2011.0,True,"['Romance', 'New Adult', 'Contemporary', 'Romance Contemporary Romance', 'Young Adult', 'Academic College', 'Music', 'Adult', 'Womens Fiction Chick Lit', 'Fiction']",1,,https://www.goodreads.com//book/show/13517535-thoughtless
237,237,First Test,Tamora Pierce,60415.0,1523.0,4.18,240,2000.0,True,"['Fantasy', 'Young Adult', 'Fiction', 'Young Adult Young Adult Fantasy', 'Adventure', 'Fantasy Magic', 'Childrens Middle Grade', 'Childrens', 'Fantasy High Fantasy', 'Young Adult Teen']",1,,https://www.goodreads.com//book/show/153784.First_Test
238,238,The Gargoyle,Andrew Davidson,46820.0,5593.0,3.94,468,2008.0,False,"['Fiction', 'Fantasy', 'Historical Historical Fiction', 'Romance', 'Historical', 'Contemporary', 'Gothic', 'Adult', 'Fantasy Paranormal', 'Magical Realism']",2,,https://www.goodreads.com//book/show/2595138-the-gargoyle
239,239,Onyx,Jennifer L. Armentrout,156859.0,10577.0,4.26,421,2012.0,True,"['Young Adult', 'Fantasy Paranormal', 'Romance', 'Fantasy', 'Science Fiction Aliens', 'Science Fiction', 'Romance Paranormal Romance', 'Fantasy Supernatural', 'Fantasy Urban Fantasy', 'Fiction']",1,United States,https://www.goodreads.com//book/show/13047090-onyx
240,240,Deception Point,Dan Brown,610483.0,9711.0,3.73,556,2002.0,False,"['Fiction', 'Thriller', 'Mystery', 'Suspense', 'Thriller Mystery Thriller', 'Mystery Crime', 'Adventure', 'Novels', 'Science Fiction', 'Action']",0,United States,https://www.goodreads.com//book/show/976.Deception_Point
241,241,Rules of Attraction,Simone Elkeles,84525.0,3904.0,4.17,336,2010.0,True,"['Romance', 'Young Adult', 'Contemporary', 'Romance Contemporary Romance', 'Young Adult High School', 'Realistic Fiction', 'Womens Fiction Chick Lit', 'New Adult', 'Young Adult Young Adult Romance', 'Fiction']",3,United States,https://www.goodreads.com//book/show/7137775-rules-of-attraction
242,242,Redeeming Love,Francine Rivers,224155.0,12338.0,4.5,479,2007.0,False,"['Christian Fiction', 'Christian', 'Fiction', 'Romance', 'Historical Historical Fiction', 'Historical', 'Romance Historical Romance', 'Adult', 'Religion Faith', 'Romance Christian Romance']",0,United States,https://www.goodreads.com//book/show/11422.Redeeming_Love
243,243,Lover Mine,J.R. Ward,105624.0,4304.0,4.39,528,2010.0,True,"['Fantasy Paranormal', 'Romance Paranormal Romance', 'Romance', 'Paranormal Vampires', 'Fantasy', 'Fantasy Urban Fantasy', 'Adult', 'Fiction', 'Adult Fiction Erotica', 'Fantasy Supernatural']",3,United States,https://www.goodreads.com//book/show/7046495-lover-mine
244,244,Inkdeath,Cornelia Funke,80180.0,3194.0,3.93,699,2007.0,True,"['Fantasy', 'Young Adult', 'Fiction', 'Childrens', 'Childrens Middle Grade', 'Adventure', 'Fantasy Magic', 'Writing Books About Books', 'European Literature German Literature', 'Young Adult Young Adult Fantasy']",0,,https://www.goodreads.com//book/show/2325825.Inkdeath
245,245,Midnight Alley,Rachel Caine,58793.0,1524.0,4.09,245,2007.0,True,"['Paranormal Vampires', 'Young Adult', 'Fantasy Paranormal', 'Fantasy', 'Fantasy Urban Fantasy', 'Romance', 'Fantasy Supernatural', 'Fiction', 'Romance Paranormal Romance', 'Young Adult Teen']",0,United States,https://www.goodreads.com//book/show/544257.Midnight_Alley
246,246,Undead and Unwed,MaryJanice Davidson,54666.0,2776.0,3.81,255,2004.0,True,"['Paranormal Vampires', 'Fantasy Paranormal', 'Romance', 'Fantasy', 'Romance Paranormal Romance', 'Fantasy Urban Fantasy', 'Womens Fiction Chick Lit', 'Humor', 'Fiction', 'Fantasy Supernatural']",1,United States,https://www.goodreads.com//book/show/421129.Undead_and_Unwed
247,247,Prophecy of the Sisters,Michelle Zink,14868.0,1535.0,3.55,343,2009.0,True,"['Young Adult', 'Fantasy', 'Fantasy Paranormal', 'Historical Historical Fiction', 'Fantasy Magic', 'Mystery', 'Historical', 'Fantasy Supernatural', 'Fiction', 'Romance']",1,United States,https://www.goodreads.com//book/show/5271066-prophecy-of-the-sisters
248,248,Where She Went,Gayle Forman,265103.0,20253.0,4.01,297,2011.0,True,"['Young Adult', 'Romance', 'Contemporary', 'Fiction', 'Realistic Fiction', 'Music', 'New Adult', 'Young Adult Teen', 'Audiobook', 'Young Adult Young Adult Contemporary']",4,United States,https://www.goodreads.com//book/show/8492825-where-she-went
249,249,Feast of Fools,Rachel Caine,52068.0,1334.0,4.14,242,2008.0,True,"['Paranormal Vampires', 'Young Adult', 'Fantasy Paranormal', 'Fantasy', 'Fantasy Urban Fantasy', 'Romance', 'Fantasy Supernatural', 'Fiction', 'Romance Paranormal Romance', 'Young Adult Teen']",0,United States,https://www.goodreads.com//book/show/2295829.Feast_of_Fools
250,250,Dragonflight,Anne McCaffrey,131329.0,3469.0,4.08,299,2005.0,True,"['Fantasy', 'Science Fiction', 'Fantasy Dragons', 'Fiction', 'Science Fiction Fantasy', 'Young Adult', 'Fantasy High Fantasy', 'Adventure', 'Science Fiction Time Travel', 'Romance']",1,,https://www.goodreads.com//book/show/61975.Dragonflight
251,251,A Dirty Job,Christopher Moore,113048.0,6777.0,4.02,387,2006.0,True,"['Humor', 'Fiction', 'Fantasy', 'Humor Comedy', 'Fantasy Paranormal', 'Fantasy Urban Fantasy', 'Audiobook', 'Horror', 'Fantasy Supernatural', 'Adult']",1,United States,https://www.goodreads.com//book/show/33456.A_Dirty_Job
252,252,Stranger in a Strange Land,Robert A. Heinlein,282317.0,8316.0,3.92,525,1991.0,False,"['Science Fiction', 'Fiction', 'Classics', 'Science Fiction Fantasy', 'Fantasy', 'Novels', 'Speculative Fiction', 'Philosophy', 'Religion', 'Audiobook']",2,,https://www.goodreads.com//book/show/350.Stranger_in_a_Strange_Land
253,253,The Alchemist,Paulo Coelho,2245394.0,85811.0,3.88,197,1993.0,False,"['Fiction', 'Classics', 'Fantasy', 'Philosophy', 'Novels', 'Spirituality', 'Literature', 'Self Help', 'Adventure', 'Inspirational']",4,Morocco,https://www.goodreads.com//book/show/865.The_Alchemist
254,254,Secrets of the Dragon Sanctuary,Brandon Mull,77954.0,3092.0,4.37,535,2009.0,True,"['Fantasy', 'Young Adult', 'Fiction', 'Childrens Middle Grade', 'Adventure', 'Fantasy Dragons', 'Fantasy Magic', 'Childrens', 'Young Adult Young Adult Fantasy', 'Childrens Juvenile']",1,,https://www.goodreads.com//book/show/5217282-secrets-of-the-dragon-sanctuary
255,255,Peter and the Starcatchers,Dave Barry,72666.0,4939.0,4.03,452,2006.0,True,"['Fantasy', 'Young Adult', 'Fiction', 'Childrens Middle Grade', 'Adventure', 'Childrens', 'Adventure Pirates', 'Retellings', 'Fantasy Magic', 'Audiobook']",8,,https://www.goodreads.com//book/show/34262.Peter_and_the_Starcatchers
256,256,Easy,Tammara Webber,220658.0,11781.0,4.08,336,2012.0,True,"['Romance', 'New Adult', 'Contemporary', 'Young Adult', 'Romance Contemporary Romance', 'Academic College', 'Fiction', 'Womens Fiction Chick Lit', 'Realistic Fiction', 'Sociology Abuse']",2,,https://www.goodreads.com//book/show/16056408-easy
257,257,The Edge of Never,J.A. Redmerski,143143.0,11281.0,4.23,426,2012.0,True,"['Romance', 'New Adult', 'Contemporary', 'Romance Contemporary Romance', 'Young Adult', 'Fiction', 'Womens Fiction Chick Lit', 'Travel Road Trip', 'Adult', 'Love']",0,,https://www.goodreads.com//book/show/16081272-the-edge-of-never
258,258,The Art of Racing in the Rain,Garth Stein,464443.0,39630.0,4.21,321,2008.0,False,"['Fiction', 'Animals', 'Contemporary', 'Animals Dogs', 'Audiobook', 'Adult Fiction', 'Adult', 'Book Club', 'Novels', 'Family']",0,United States,https://www.goodreads.com//book/show/3153910-the-art-of-racing-in-the-rain
259,259,One Foot in the Grave,Jeaniene Frost,97256.0,3818.0,4.29,357,2008.0,True,"['Fantasy Paranormal', 'Paranormal Vampires', 'Fantasy Urban Fantasy', 'Romance Paranormal Romance', 'Romance', 'Fantasy', 'Adult', 'Fantasy Supernatural', 'Fiction', 'Audiobook']",0,United States,https://www.goodreads.com//book/show/2168860.One_Foot_in_the_Grave
260,260,The Lies of Locke Lamora,Scott Lynch,241006.0,15664.0,4.26,752,2006.0,True,"['Fantasy', 'Fiction', 'Adventure', 'Adult', 'Fantasy High Fantasy', 'Fantasy Epic Fantasy', 'Audiobook', 'Science Fiction Fantasy', 'Mystery', 'Mystery Crime']",8,,https://www.goodreads.com//book/show/29588376-the-lies-of-locke-lamora
261,261,An Abundance of Katherines,John Green,467047.0,24595.0,3.56,229,2006.0,False,"['Young Adult', 'Contemporary', 'Fiction', 'Romance', 'Realistic Fiction', 'Young Adult Teen', 'Humor', 'Young Adult Coming Of Age', 'Young Adult Young Adult Contemporary', 'Audiobook']",3,United States,https://www.goodreads.com//book/show/49750.An_Abundance_of_Katherines
262,262,Wild Magic,Tamora Pierce,78238.0,2181.0,4.26,362,2005.0,True,"['Fantasy', 'Young Adult', 'Fiction', 'Fantasy Magic', 'Young Adult Young Adult Fantasy', 'Adventure', 'Fantasy High Fantasy', 'Childrens Middle Grade', 'Childrens', 'Fantasy Dragons']",0,,https://www.goodreads.com//book/show/13836.Wild_Magic
263,263,Crown of Midnight,Sarah J. Maas,391042.0,31174.0,4.39,420,2013.0,True,"['Fantasy', 'Young Adult', 'Romance', 'Fantasy Magic', 'Fiction', 'Young Adult Young Adult Fantasy', 'Fantasy High Fantasy', 'New Adult', 'Fairies Fae', 'Adventure']",1,,https://www.goodreads.com//book/show/17167166-crown-of-midnight
264,264,Blood Red Road,Moira Young,61404.0,5829.0,3.9,459,2011.0,True,"['Young Adult', 'Science Fiction Dystopia', 'Fantasy', 'Romance', 'Science Fiction', 'Apocalyptic Post Apocalyptic', 'Adventure', 'Fiction', 'Young Adult Teen', 'Action']",12,,https://www.goodreads.com//book/show/9917938-blood-red-road
265,265,Rapture,Lauren Kate,106389.0,5782.0,4.01,466,2012.0,True,"['Young Adult', 'Fantasy', 'Paranormal Angels', 'Romance', 'Fantasy Paranormal', 'Romance Paranormal Romance', 'Fantasy Supernatural', 'Fiction', 'Fantasy Urban Fantasy', 'Young Adult Teen']",0,Italy,https://www.goodreads.com//book/show/12716010-rapture
266,266,Heart-Shaped Box,Joe Hill,113085.0,8978.0,3.84,376,2007.0,False,"['Horror', 'Fiction', 'Thriller', 'Fantasy Paranormal', 'Fantasy', 'Paranormal Ghosts', 'Fantasy Supernatural', 'Mystery', 'Audiobook', 'Adult']",5,United States,https://www.goodreads.com//book/show/153025.Heart_Shaped_Box
267,267,Dead Beat,Jim Butcher,114268.0,3692.0,4.39,517,2006.0,True,"['Fantasy', 'Fantasy Urban Fantasy', 'Fiction', 'Mystery', 'Fantasy Paranormal', 'Fantasy Magic', 'Audiobook', 'Fantasy Supernatural', 'Paranormal Vampires', 'Science Fiction Fantasy']",0,United States,https://www.goodreads.com//book/show/17683.Dead_Beat
268,268,Dark Flame,Alyson Noel,59291.0,1869.0,3.73,320,2010.0,True,"['Young Adult', 'Fantasy', 'Fantasy Paranormal', 'Romance', 'Fantasy Supernatural', 'Fiction', 'Romance Paranormal Romance', 'Fantasy Magic', 'Fantasy Urban Fantasy', 'Paranormal Vampires']",0,United States,https://www.goodreads.com//book/show/7198988-dark-flame
269,269,A Certain Slant of Light,Laura Whitcomb,18801.0,1890.0,3.83,282,2005.0,True,"['Young Adult', 'Fantasy Paranormal', 'Fantasy', 'Romance', 'Paranormal Ghosts', 'Fiction', 'Fantasy Supernatural', 'Romance Paranormal Romance', 'Young Adult Teen', 'Fantasy Urban Fantasy']",2,,https://www.goodreads.com//book/show/289601.A_Certain_Slant_of_Light
270,270,Raven: The Balance: Book Two,Nick Shamhart,325.0,19.0,4.78,350,2012.0,True,"['Humor', 'Fantasy Paranormal', 'Horror', 'Paranormal Ghosts', 'Fantasy Supernatural']",0,,https://www.goodreads.com//book/show/13548255-raven
271,271,"Thirst No. 1: The Last Vampire, Black Blood, and Red Dice",Christopher Pike,33503.0,1681.0,3.84,594,2009.0,True,"['Fantasy', 'Young Adult', 'Paranormal Vampires', 'Fantasy Paranormal', 'Fiction', 'Romance', 'Thriller', 'Fantasy Supernatural', 'Mystery', 'Young Adult Young Adult Fantasy']",0,,https://www.goodreads.com//book/show/5941233-thirst-no-1
272,272,Heir of Fire,Sarah J. Maas,326050.0,26889.0,4.46,565,2014.0,True,"['Fantasy', 'Young Adult', 'Romance', 'Fantasy Magic', 'Young Adult Young Adult Fantasy', 'Fiction', 'Fairies Fae', 'New Adult', 'Fantasy High Fantasy', 'Adventure']",1,,https://www.goodreads.com//book/show/20613470-heir-of-fire
273,273,Isle of Winds,James Fahy,869.0,166.0,4.21,265,2015.0,True,"['Fantasy', 'Young Adult', 'Childrens Middle Grade', 'Fiction', 'Fantasy Magic', 'Childrens', 'Fairies Fae', 'Adventure', 'Fantasy High Fantasy', 'Fantasy Paranormal']",0,,https://www.goodreads.com//book/show/28173857-isle-of-winds
274,274,Haunted,Chuck Palahniuk,100563.0,4440.0,3.6,419,2006.0,False,"['Fiction', 'Horror', 'Short Stories', 'Contemporary', 'Thriller', 'Novels', 'Adult', 'Dark', 'Mystery', 'Literature American']",0,,https://www.goodreads.com//book/show/22288.Haunted
275,275,The Throne of Fire,Rick Riordan,175728.0,6248.0,4.18,452,2011.0,True,"['Fantasy', 'Fantasy Mythology', 'Young Adult', 'Childrens Middle Grade', 'Fiction', 'Adventure', 'Childrens', 'Fantasy Magic', 'Fantasy Urban Fantasy', 'Young Adult Young Adult Fantasy']",1,United States,https://www.goodreads.com//book/show/9067850-the-throne-of-fire
276,276,Delirium,Lauren Oliver,431047.0,26712.0,3.96,441,2012.0,True,"['Young Adult', 'Science Fiction Dystopia', 'Romance', 'Science Fiction', 'Fantasy', 'Fiction', 'Young Adult Teen', 'Audiobook', 'Apocalyptic Post Apocalyptic', 'Love']",4,United States,https://www.goodreads.com//book/show/11614718-delirium
277,277,Six of Crows,Leigh Bardugo,400727.0,48720.0,4.44,465,2015.0,True,"['Fantasy', 'Young Adult', 'Fiction', 'Young Adult Young Adult Fantasy', 'Adventure', 'Fantasy Magic', 'LGBT', 'Romance', 'Fantasy High Fantasy', 'Audiobook']",11,,https://www.goodreads.com//book/show/23437156-six-of-crows
278,278,The Merchant of Death,D.J. MacHale,47551.0,1986.0,3.95,375,2002.0,True,"['Fantasy', 'Young Adult', 'Fiction', 'Science Fiction', 'Adventure', 'Childrens Middle Grade', 'Childrens', 'Young Adult Young Adult Fantasy', 'Young Adult Teen', 'Fantasy Magic']",0,,https://www.goodreads.com//book/show/833710.The_Merchant_of_Death
279,279,Ink Exchange,Melissa Marr,61312.0,3052.0,3.68,325,2008.0,True,"['Fantasy', 'Young Adult', 'Fantasy Paranormal', 'Romance', 'Fantasy Urban Fantasy', 'Paranormal Fairies', 'Fairies Fae', 'Fiction', 'Romance Paranormal Romance', 'Fantasy Magic']",0,,https://www.goodreads.com//book/show/2321296.Ink_Exchange
280,280,Middlesex,Jeffrey Eugenides,594012.0,23584.0,4.01,529,2003.0,False,"['Fiction', 'Historical Historical Fiction', 'Contemporary', 'LGBT', 'Literary Fiction', 'Novels', 'Classics', 'Literature', 'GLBT Queer', 'Adult']",5,Turkey,https://www.goodreads.com//book/show/2187.Middlesex
281,281,The Iron Knight,Julie Kagawa,80765.0,4720.0,4.18,400,2011.0,True,"['Fantasy', 'Young Adult', 'Romance', 'Fantasy Paranormal', 'Fairies Fae', 'Paranormal Fairies', 'Fantasy Magic', 'Fantasy Urban Fantasy', 'Young Adult Young Adult Fantasy', 'Fiction']",1,,https://www.goodreads.com//book/show/9659607-the-iron-knight
282,282,Lord of Misrule,Rachel Caine,46338.0,1156.0,4.15,246,2009.0,True,"['Paranormal Vampires', 'Young Adult', 'Fantasy Paranormal', 'Fantasy', 'Fantasy Urban Fantasy', 'Romance', 'Fantasy Supernatural', 'Fiction', 'Romance Paranormal Romance', 'Young Adult Teen']",0,United States,https://www.goodreads.com//book/show/3558003-lord-of-misrule
283,283,Die for Me,Amy Plum,54424.0,4494.0,3.97,341,2011.0,True,"['Young Adult', 'Fantasy Paranormal', 'Fantasy', 'Romance', 'Romance Paranormal Romance', 'Horror Zombies', 'Fantasy Supernatural', 'Fantasy Urban Fantasy', 'Fiction', 'Young Adult Young Adult Paranormal']",0,France,https://www.goodreads.com//book/show/9462812-die-for-me
284,284,Cry Wolf,Patricia Briggs,90958.0,4000.0,4.11,294,2008.0,True,"['Fantasy Urban Fantasy', 'Fantasy', 'Fantasy Paranormal', 'Romance', 'Romance Paranormal Romance', 'Shapeshifters Werewolves', 'Paranormal Shapeshifters', 'Fiction', 'Fantasy Supernatural', 'Adult']",2,United States,https://www.goodreads.com//book/show/2355575.Cry_Wolf
285,285,Cress,Marissa Meyer,295422.0,27706.0,4.42,552,2014.0,True,"['Young Adult', 'Fantasy', 'Science Fiction', 'Romance', 'Retellings', 'Science Fiction Dystopia', 'Fiction', 'Fantasy Fairy Tales', 'Audiobook', 'Adventure']",2,,https://www.goodreads.com//book/show/13206828-cress
286,286,The Demon King,Cinda Williams Chima,73749.0,5302.0,4.12,506,2009.0,True,"['Fantasy', 'Young Adult', 'Fantasy Magic', 'Fantasy High Fantasy', 'Young Adult Young Adult Fantasy', 'Romance', 'Fiction', 'Adventure', 'Childrens', 'Fantasy Epic Fantasy']",0,,https://www.goodreads.com//book/show/6342491-the-demon-king
287,287,Storm Front,Jim Butcher,309463.0,17068.0,3.99,355,2000.0,True,"['Fantasy', 'Fantasy Urban Fantasy', 'Mystery', 'Fiction', 'Fantasy Paranormal', 'Fantasy Magic', 'Audiobook', 'Fantasy Supernatural', 'Science Fiction Fantasy', 'Mystery Crime']",1,United States,https://www.goodreads.com//book/show/47212.Storm_Front
288,288,Gabriel's Inferno,Sylvain Reynard,147188.0,8361.0,4.0,506,2011.0,True,"['Romance', 'Romance Contemporary Romance', 'Contemporary', 'Adult Fiction Erotica', 'Adult', 'New Adult', 'Academic College', 'Fiction', 'Romance Erotic Romance', 'Womens Fiction Chick Lit']",1,Canada,https://www.goodreads.com//book/show/10140661-gabriel-s-inferno
289,289,Fade Out,Rachel Caine,38247.0,928.0,4.19,237,2009.0,True,"['Paranormal Vampires', 'Young Adult', 'Fantasy Paranormal', 'Fantasy', 'Fantasy Urban Fantasy', 'Romance', 'Fantasy Supernatural', 'Fiction', 'Romance Paranormal Romance', 'Young Adult Teen']",0,United States,https://www.goodreads.com//book/show/6289938-fade-out
